00 Person
00 9995
00 no additional info
00 1
00 111
00 male
00 200
00 6
00 Data was recorded 60 times per second
00 Date and Time: 2/5/2024 10:48:12 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):266879.5  stage:0 time_period:30 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):268242.3 force plate (fx, fy, fz, mx, my, mz):0.6368904,-0.4306889,0.7739258,-17.57996,0.8235779,-0.169436
01 timestamp(ms):268280.9 force plate (fx, fy, fz, mx, my, mz):0.9794006,-0.4256687,0.7758789,-17.5802,0.8397217,-0.1596227
01 timestamp(ms):268321 force plate (fx, fy, fz, mx, my, mz):0.648983,-1.625088,-0.1691895,-18.51605,0.3908997,-0.01435328
01 timestamp(ms):268347.9 force plate (fx, fy, fz, mx, my, mz):0.9822502,-1.61652,-0.3557129,-18.56842,0.4397583,0.08040667
01 timestamp(ms):268378.3 force plate (fx, fy, fz, mx, my, mz):0.6526546,-1.379156,-0.3554688,-18.57928,0.4905396,-0.05724525
01 timestamp(ms):268413.1 force plate (fx, fy, fz, mx, my, mz):0.6590214,-2.570673,0.5737305,-19.72223,0.1924744,-0.002626419
01 timestamp(ms):268444.8 force plate (fx, fy, fz, mx, my, mz):0.6642647,-2.324747,0.7619629,-19.7851,0.1595764,-0.04514027
01 timestamp(ms):268475 force plate (fx, fy, fz, mx, my, mz):0.3267384,-2.573263,0.7590332,-19.8783,0.1436157,-0.09595728
01 timestamp(ms):268508.1 force plate (fx, fy, fz, mx, my, mz):0.9803104,-4.02883,-2.61377,-20.43927,-0.4273682,-0.1699753
01 timestamp(ms):268535.1 force plate (fx, fy, fz, mx, my, mz):0.9821644,-4.03031,-2.42627,-20.38739,-0.4603882,-0.1702442
01 timestamp(ms):268561.8 force plate (fx, fy, fz, mx, my, mz):0.9811497,-3.785406,-2.239746,-20.34686,-0.4935608,-0.1288357
01 timestamp(ms):268593.1 force plate (fx, fy, fz, mx, my, mz):0.9938335,-3.53092,-2.615234,-20.46307,-0.4934998,0.0155592
01 timestamp(ms):268623.3 force plate (fx, fy, fz, mx, my, mz):1.322376,-2.600536,-0.5524902,-18.68475,-1.107544,-0.005496979
01 timestamp(ms):268652 force plate (fx, fy, fz, mx, my, mz):1.322746,-2.600031,-0.1774902,-18.68414,-1.107086,-0.00535965
01 timestamp(ms):268681.9 force plate (fx, fy, fz, mx, my, mz):1.323109,-2.598921,-0.3654785,-18.73663,-1.140564,-0.005011559
01 timestamp(ms):268716.1 force plate (fx, fy, fz, mx, my, mz):1.319525,-1.214647,1.889893,-15.67773,-1.869659,0.05629635
01 timestamp(ms):268744.7 force plate (fx, fy, fz, mx, my, mz):1.323303,-0.9719639,1.702881,-15.63684,-1.836517,0.01281071
01 timestamp(ms):268779.9 force plate (fx, fy, fz, mx, my, mz):1.650616,-0.9739552,1.890869,-15.58459,-1.854095,-0.07974148
01 timestamp(ms):268812.3 force plate (fx, fy, fz, mx, my, mz):1.950455,2.138836,-1.09668,-13.12677,-2.175659,-0.07163191
01 timestamp(ms):268845.5 force plate (fx, fy, fz, mx, my, mz):1.625751,1.890079,-1.098145,-13.01141,-2.190948,-0.02170038
01 timestamp(ms):268873.4 force plate (fx, fy, fz, mx, my, mz):1.951214,1.889568,-1.096191,-13.01093,-2.175507,-0.1139836
01 timestamp(ms):268898.5 force plate (fx, fy, fz, mx, my, mz):2.282734,2.14143,-1.283203,-12.97089,-2.126801,0.02169847
01 timestamp(ms):268927.8 force plate (fx, fy, fz, mx, my, mz):1.616346,2.827803,0.02856445,-11.3902,-2.456238,0.1343141
01 timestamp(ms):268953.8 force plate (fx, fy, fz, mx, my, mz):1.288719,2.815378,0.02905273,-11.2854,-2.5383,-0.04544735
01 timestamp(ms):268983.9 force plate (fx, fy, fz, mx, my, mz):1.286865,2.816858,-0.1574707,-11.33728,-2.50528,-0.04518032
01 timestamp(ms):269020.3 force plate (fx, fy, fz, mx, my, mz):1.610937,2.31274,0.40625,-10.84552,-2.522369,-0.1391292
01 timestamp(ms):269049.8 force plate (fx, fy, fz, mx, my, mz):1.27767,2.304173,0.5927734,-10.79315,-2.571228,-0.2338881
01 timestamp(ms):269085 force plate (fx, fy, fz, mx, my, mz):1.610937,2.31274,0.40625,-10.84552,-2.522369,-0.1391292
01 timestamp(ms):269120.8 force plate (fx, fy, fz, mx, my, mz):1.2752,2.317472,0.03051758,-11.2616,-2.472168,-0.2309799
01 timestamp(ms):269149.3 force plate (fx, fy, fz, mx, my, mz):1.279818,2.07287,0.2185059,-11.30255,-2.438538,-0.2723327
01 timestamp(ms):269183.1 force plate (fx, fy, fz, mx, my, mz):1.278044,2.321974,0.2167969,-11.41815,-2.505157,-0.2298207
01 timestamp(ms):269217.7 force plate (fx, fy, fz, mx, my, mz):0.9499912,2.322344,-0.1599121,-11.41852,-2.45459,-0.137754
01 timestamp(ms):269253.5 force plate (fx, fy, fz, mx, my, mz):0.9484997,0.154541,-0.7236328,-12.72455,-2.022736,-0.1654873
01 timestamp(ms):269291.5 force plate (fx, fy, fz, mx, my, mz):0.9533787,0.399353,-0.3491211,-12.73492,-2.022125,-0.2083502
01 timestamp(ms):269323.2 force plate (fx, fy, fz, mx, my, mz):0.6178913,0.3917542,-0.7236328,-12.73505,-2.038483,-0.3029785
01 timestamp(ms):269351 force plate (fx, fy, fz, mx, my, mz):0.6272659,-0.3254566,0.0222168,-13.01514,-1.904205,-0.06982517
01 timestamp(ms):269385.1 force plate (fx, fy, fz, mx, my, mz):0.6363983,-0.3257523,0.2111816,-13.06708,-1.870453,-0.1541762
01 timestamp(ms):269419.4 force plate (fx, fy, fz, mx, my, mz):0.3088303,-0.3281307,0.2097168,-12.96289,-1.885895,-0.06256485
01 timestamp(ms):269456.1 force plate (fx, fy, fz, mx, my, mz):0.9466705,-0.5805302,-0.9101563,-12.74274,-1.856537,-0.2058148
01 timestamp(ms):269488.1 force plate (fx, fy, fz, mx, my, mz):0.9484177,-0.5787563,-0.7229004,-12.79492,-1.823059,-0.2054887
01 timestamp(ms):269519.1 force plate (fx, fy, fz, mx, my, mz):0.6236935,-0.5766277,-0.5368652,-12.84711,-1.871521,-0.11272
01 timestamp(ms):269561.3 force plate (fx, fy, fz, mx, my, mz):0.9568787,0.6278515,0.4038086,-11.80853,-1.888,0.01366806
01 timestamp(ms):269590.8 force plate (fx, fy, fz, mx, my, mz):0.9613914,0.8721523,0.4047852,-11.81952,-1.887878,-0.02933121
01 timestamp(ms):269624.4 force plate (fx, fy, fz, mx, my, mz):0.9590187,0.3798599,0.2167969,-11.74542,-1.854828,-0.02849483
01 timestamp(ms):269656.4 force plate (fx, fy, fz, mx, my, mz):1.273655,1.336924,0.03344727,-10.90387,-1.939758,-0.04462481
01 timestamp(ms):269686.3 force plate (fx, fy, fz, mx, my, mz):1.287838,1.588839,0.03344727,-10.91571,-1.93924,0.09915113
01 timestamp(ms):269714.2 force plate (fx, fy, fz, mx, my, mz):0.954464,1.583517,0.220459,-10.96741,-1.92157,0.004984856
01 timestamp(ms):269748.4 force plate (fx, fy, fz, mx, my, mz):1.270267,1.817657,-0.1503906,-10.5611,-1.773834,-0.04877424
